"","Ward","MedianIncome","PovertyRate","UnemploymentRate","TotalCrimes"
"1",2,131405,11.2,3.4,382
"2",4,128210,8.7,5.8,171
"3",7,69109,22.4,14.3,240
"4",1,126387,11.6,3.9,239
"5",8,50931,26.8,13.9,244
"6",6,138047,11.3,3,261
"7",3,141849,7.4,4.3,91
"8",5,97814,14.7,6.8,366
